Navn ,Titel,Regerinsperiode_start_år,Regeringsperiode_slut_år,Fødselsår,Dødsår
Gorm,Den_Gamle,936,958,Na,958
Harald,1._Blåtand,958,987,Na,987
Svend,1._Tveskæg,987,1014,Na,1014
Harald,2._,1014,1018,Na,1018
Knud,1._Den_Store,1018,1035,995,1035
Hardeknud,Na,1035,1042,1020,1042
Magnus,Den_Gode,1042,1047,1024,1047
Svend,2._Estridsen,1047,1074,Na,1076
Harald,3._Hen,1074,1080,Na,1080
Knud,2._Den_Hellige,1080,1086,Na,1086
Oluf,1._Hunger,1086,1095,Na,1095
Erik,1._Ejegod,1095,1103,1056,1103
Niels,Na,1104,1134,Na,1134
Erik ,2._Emune,1134,1137,Na,1137
Erik,3._Lam,1137,1146,Na,1146
Valdemar,1._Den_Store,1157,1182,1131,1182
Knud,4._,1182,1202,1163,1202
Valdemar,2._Sejr,1202,1241,1170,1241
Erik,4_Plovpenning,1241,1250,1216,1250
Abel,Na,1250,1252,1218,1252
Christoffer ,1._,1252,1259,1219,1259
Erik,5._Klipping,1259,1286,1249,1286
Erik,6._Menved,1286,1319,1274,1319
Christoffer,2._,1319,1326,1276,1326
Valdemar,3._ ,1326,1329,1315,1364
Valdemar,4._Atterdag,1340,1375,1320,1375
Margrete,1._,1387,1396,1353,1412
Oluf,2._,1375,1387,1370,1387
Erik,7._Af_Pommern,1396,1439,1382,1459
Christoffer,3._Af_Bayern,1440,1448,1416,1448
Christian,1._,1448,1481,1426,1481
Hans,Na,1482,1513,1455,1513
Frederik,1._,1523,1533,1471,1533
Christian,2,1513,1523,1481,1559
Christian,3._,1536,1559,1503,1559
Frederik,2._,1559,1588,1534,1588
Christian,4._,1588,1648,1577,1648
Frederik,3,1648,1670,1609,1670
Christian,5._,1670,1699,1646,1699
Frederik,4._,1699,1730,1671,1730
Christian,6._,1730,1746,1699,1746
Frederik,5._,1746,1766,1723,1766
Christian,7._,1766,1808,1749,1808
Frederik,6._,1808,1839,1768,1839
Christian,8._,1839,1848,1786,1848
Frederik,7._,1848,1863,1808,1863
Christian ,9._,1863,1906,1818,1906
Frederik,8._,1906,1912,1843,1912
Christian ,10._,1912,1947,1870,1947
Frederik,9._,1947,1972,1899,1972
Margrethe ,2._,1972,2024,1940,Na
Frederik,10._,2024,Na,1968,Na
